HOST,TARGET,NODE,PORT,OPEN
CASSANDRA,,,,
dc-1-n1,,,,
10.5.0.2,10.5.0.3,dc-1-n2,9160,true
10.5.0.2,10.5.0.3,dc-1-n2,9042,true
10.5.0.2,10.5.0.3,dc-1-n2,7000,true
10.5.0.2,10.5.0.4,dc-1-n3,9160,true
10.5.0.2,10.5.0.4,dc-1-n3,9042,true
10.5.0.2,10.5.0.4,dc-1-n3,7000,true
  
dc-1-n2,,,,
10.5.0.3,10.5.0.2,dc-1-n1,9160,true
10.5.0.3,10.5.0.2,dc-1-n1,9042,true
10.5.0.3,10.5.0.2,dc-1-n1,7000,true
10.5.0.3,10.5.0.4,dc-1-n3,9160,true
10.5.0.3,10.5.0.4,dc-1-n3,9042,true
10.5.0.3,10.5.0.4,dc-1-n3,7000,true
  
dc-1-n3,,,,
10.5.0.4,10.5.0.2,dc-1-n1,9160,true
10.5.0.4,10.5.0.2,dc-1-n1,9042,true
10.5.0.4,10.5.0.2,dc-1-n1,7000,true
10.5.0.4,10.5.0.3,dc-1-n2,9160,true
10.5.0.4,10.5.0.3,dc-1-n2,9042,true
10.5.0.4,10.5.0.3,dc-1-n2,7000,true
  
ZOOKEEPER,,,,
dc-1-n1,,,,
10.5.0.2,10.5.0.3,dc-1-n2,2888,true
10.5.0.2,10.5.0.3,dc-1-n2,3888,true
10.5.0.2,10.5.0.3,dc-1-n2,2181,true
10.5.0.2,10.5.0.4,dc-1-n3,2888,true
10.5.0.2,10.5.0.4,dc-1-n3,3888,true
10.5.0.2,10.5.0.4,dc-1-n3,2181,true
  
dc-1-n2,,,,
10.5.0.3,10.5.0.2,dc-1-n1,2888,true
10.5.0.3,10.5.0.2,dc-1-n1,3888,true
10.5.0.3,10.5.0.2,dc-1-n1,2181,true
10.5.0.3,10.5.0.4,dc-1-n3,2888,true
10.5.0.3,10.5.0.4,dc-1-n3,3888,true
10.5.0.3,10.5.0.4,dc-1-n3,2181,true
  
dc-1-n3,,,,
10.5.0.4,10.5.0.2,dc-1-n1,2888,true
10.5.0.4,10.5.0.2,dc-1-n1,3888,true
10.5.0.4,10.5.0.2,dc-1-n1,2181,true
10.5.0.4,10.5.0.3,dc-1-n2,2888,true
10.5.0.4,10.5.0.3,dc-1-n2,3888,true
10.5.0.4,10.5.0.3,dc-1-n2,2181,true
  
MANAGEMENT SERVER,,,,
# DS,,,,
dc-1-n1,,,,
10.5.0.2,10.5.0.2,dc-1-n1,7199,true
10.5.0.2,10.5.0.2,dc-1-n1,9042,true
10.5.0.2,10.5.0.2,dc-1-n1,9160,true
10.5.0.2,10.5.0.2,dc-1-n1,2181,true
10.5.0.2,10.5.0.3,dc-1-n2,7199,true
10.5.0.2,10.5.0.3,dc-1-n2,9042,true
10.5.0.2,10.5.0.3,dc-1-n2,9160,true
10.5.0.2,10.5.0.3,dc-1-n2,2181,true
10.5.0.2,10.5.0.4,dc-1-n3,7199,true
10.5.0.2,10.5.0.4,dc-1-n3,9042,true
10.5.0.2,10.5.0.4,dc-1-n3,9160,true
10.5.0.2,10.5.0.4,dc-1-n3,2181,true
  
# R,,,,
dc-1-n1,,,,
10.5.0.2,10.5.0.3,dc-1-n2,4527,true
10.5.0.2,10.5.0.3,dc-1-n2,8081,true
10.5.0.2,10.5.0.4,dc-1-n3,4527,true
10.5.0.2,10.5.0.4,dc-1-n3,8081,true
  
# MP,,,,
dc-1-n1,,,,
10.5.0.2,10.5.0.3,dc-1-n2,4528,true
10.5.0.2,10.5.0.3,dc-1-n2,8082,true
10.5.0.2,10.5.0.4,dc-1-n3,4528,true
10.5.0.2,10.5.0.4,dc-1-n3,8082,true
  
# PG,,,,
dc-1-n1,,,,
10.5.0.2,10.5.0.5,dc-1-n4,4530,true
10.5.0.2,10.5.0.5,dc-1-n4,8084,true
10.5.0.2,10.5.0.5,dc-1-n4,5432,true
10.5.0.2,10.5.0.6,dc-1-n5,4530,true
10.5.0.2,10.5.0.6,dc-1-n5,8084,true
10.5.0.2,10.5.0.6,dc-1-n5,5432,true
  
# QPIDD,,,,
dc-1-n1,,,,
10.5.0.2,10.5.0.5,dc-1-n4,4529,true
10.5.0.2,10.5.0.5,dc-1-n4,8083,true
10.5.0.2,10.5.0.6,dc-1-n5,4529,true
10.5.0.2,10.5.0.6,dc-1-n5,8083,true
  
MESSAGE PROCESSOR,,,,
# DS,,,,
dc-1-n2,,,,
10.5.0.3,10.5.0.2,dc-1-n1,2181,true
10.5.0.3,10.5.0.2,dc-1-n1,9042,true
10.5.0.3,10.5.0.2,dc-1-n1,9160,true
10.5.0.3,10.5.0.3,dc-1-n2,2181,true
10.5.0.3,10.5.0.3,dc-1-n2,9042,true
10.5.0.3,10.5.0.3,dc-1-n2,9160,true
10.5.0.3,10.5.0.4,dc-1-n3,2181,true
10.5.0.3,10.5.0.4,dc-1-n3,9042,true
10.5.0.3,10.5.0.4,dc-1-n3,9160,true
  
dc-1-n3,,,,
10.5.0.4,10.5.0.2,dc-1-n1,2181,true
10.5.0.4,10.5.0.2,dc-1-n1,9042,true
10.5.0.4,10.5.0.2,dc-1-n1,9160,true
10.5.0.4,10.5.0.3,dc-1-n2,2181,true
10.5.0.4,10.5.0.3,dc-1-n2,9042,true
10.5.0.4,10.5.0.3,dc-1-n2,9160,true
10.5.0.4,10.5.0.4,dc-1-n3,2181,true
10.5.0.4,10.5.0.4,dc-1-n3,9042,true
10.5.0.4,10.5.0.4,dc-1-n3,9160,true
  
# MS,,,,
dc-1-n2,,,,
10.5.0.3,10.5.0.2,dc-1-n1,8080,true
  
dc-1-n3,,,,
10.5.0.4,10.5.0.2,dc-1-n1,8080,true
  
# MP,,,,
dc-1-n2,,,,
10.5.0.3,10.5.0.3,dc-1-n2,4528,true
10.5.0.3,10.5.0.4,dc-1-n3,4528,true
  
dc-1-n3,,,,
10.5.0.4,10.5.0.3,dc-1-n2,4528,true
10.5.0.4,10.5.0.4,dc-1-n3,4528,true
  
# QPIDD,,,,
dc-1-n2,,,,
10.5.0.3,10.5.0.5,dc-1-n4,5672,true
10.5.0.3,10.5.0.6,dc-1-n5,5672,true
  
dc-1-n3,,,,
10.5.0.4,10.5.0.5,dc-1-n4,5672,true
10.5.0.4,10.5.0.6,dc-1-n5,5672,true
  
ROUTER,,,,
# DS,,,,
dc-1-n2,,,,
10.5.0.3,10.5.0.2,dc-1-n1,2181,true
10.5.0.3,10.5.0.2,dc-1-n1,9042,true
10.5.0.3,10.5.0.2,dc-1-n1,9160,true
10.5.0.3,10.5.0.3,dc-1-n2,2181,true
10.5.0.3,10.5.0.3,dc-1-n2,9042,true
10.5.0.3,10.5.0.3,dc-1-n2,9160,true
10.5.0.3,10.5.0.4,dc-1-n3,2181,true
10.5.0.3,10.5.0.4,dc-1-n3,9042,true
10.5.0.3,10.5.0.4,dc-1-n3,9160,true
  
dc-1-n3,,,,
10.5.0.4,10.5.0.2,dc-1-n1,2181,true
10.5.0.4,10.5.0.2,dc-1-n1,9042,true
10.5.0.4,10.5.0.2,dc-1-n1,9160,true
10.5.0.4,10.5.0.3,dc-1-n2,2181,true
10.5.0.4,10.5.0.3,dc-1-n2,9042,true
10.5.0.4,10.5.0.3,dc-1-n2,9160,true
10.5.0.4,10.5.0.4,dc-1-n3,2181,true
10.5.0.4,10.5.0.4,dc-1-n3,9042,true
10.5.0.4,10.5.0.4,dc-1-n3,9160,true
  
# MS,,,,
dc-1-n2,,,,
10.5.0.3,10.5.0.2,dc-1-n1,8080,true
  
dc-1-n3,,,,
10.5.0.4,10.5.0.2,dc-1-n1,8080,true
  
# R,,,,
dc-1-n2,,,,
10.5.0.3,10.5.0.3,dc-1-n2,4527,true
10.5.0.3,10.5.0.4,dc-1-n3,4527,true
  
dc-1-n3,,,,
10.5.0.4,10.5.0.3,dc-1-n2,4527,true
10.5.0.4,10.5.0.4,dc-1-n3,4527,true
  
# MP,,,,
dc-1-n2,,,,
10.5.0.3,10.5.0.3,dc-1-n2,4528,true
10.5.0.3,10.5.0.3,dc-1-n2,8998,true
10.5.0.3,10.5.0.4,dc-1-n3,4528,true
10.5.0.3,10.5.0.4,dc-1-n3,8998,true
  
dc-1-n3,,,,
10.5.0.4,10.5.0.3,dc-1-n2,4528,true
10.5.0.4,10.5.0.3,dc-1-n2,8998,true
10.5.0.4,10.5.0.4,dc-1-n3,4528,true
10.5.0.4,10.5.0.4,dc-1-n3,8998,true
  
# QPIDD,,,,
dc-1-n2,,,,
10.5.0.3,10.5.0.5,dc-1-n4,5672,true
10.5.0.3,10.5.0.6,dc-1-n5,5672,true
  
dc-1-n3,,,,
10.5.0.4,10.5.0.5,dc-1-n4,5672,true
10.5.0.4,10.5.0.6,dc-1-n5,5672,true
  

QPIDD,,,,
# DS,,,,
dc-1-n4,,,,
10.5.0.5,10.5.0.2,dc-1-n1,2181,true
10.5.0.5,10.5.0.2,dc-1-n1,9042,true
10.5.0.5,10.5.0.2,dc-1-n1,9160,true
10.5.0.5,10.5.0.3,dc-1-n2,2181,true
10.5.0.5,10.5.0.3,dc-1-n2,9042,true
10.5.0.5,10.5.0.3,dc-1-n2,9160,true
10.5.0.5,10.5.0.4,dc-1-n3,2181,true
10.5.0.5,10.5.0.4,dc-1-n3,9042,true
10.5.0.5,10.5.0.4,dc-1-n3,9160,true
  
dc-1-n5,,,,
10.5.0.6,10.5.0.2,dc-1-n1,2181,true
10.5.0.6,10.5.0.2,dc-1-n1,9042,true
10.5.0.6,10.5.0.2,dc-1-n1,9160,true
10.5.0.6,10.5.0.3,dc-1-n2,2181,true
10.5.0.6,10.5.0.3,dc-1-n2,9042,true
10.5.0.6,10.5.0.3,dc-1-n2,9160,true
10.5.0.6,10.5.0.4,dc-1-n3,2181,true
10.5.0.6,10.5.0.4,dc-1-n3,9042,true
10.5.0.6,10.5.0.4,dc-1-n3,9160,true
  
# MS,,,,
dc-1-n4,,,,
10.5.0.5,10.5.0.2,dc-1-n1,8080,true
  
dc-1-n5,,,,
10.5.0.6,10.5.0.2,dc-1-n1,8080,true
  
# PG,,,,
dc-1-n4,,,,
10.5.0.5,10.5.0.5,dc-1-n4,5432,true
10.5.0.5,10.5.0.6,dc-1-n5,5432,true
  
dc-1-n5,,,,
10.5.0.6,10.5.0.5,dc-1-n4,5432,true
10.5.0.6,10.5.0.6,dc-1-n5,5432,true
  

PG,,,,
# DS,,,,
dc-1-n4,,,,
10.5.0.5,10.5.0.2,dc-1-n1,2181,true
10.5.0.5,10.5.0.2,dc-1-n1,9042,true
10.5.0.5,10.5.0.2,dc-1-n1,9160,true
10.5.0.5,10.5.0.3,dc-1-n2,2181,true
10.5.0.5,10.5.0.3,dc-1-n2,9042,true
10.5.0.5,10.5.0.3,dc-1-n2,9160,true
10.5.0.5,10.5.0.4,dc-1-n3,2181,true
10.5.0.5,10.5.0.4,dc-1-n3,9042,true
10.5.0.5,10.5.0.4,dc-1-n3,9160,true
  
dc-1-n5,,,,
10.5.0.6,10.5.0.2,dc-1-n1,2181,true
10.5.0.6,10.5.0.2,dc-1-n1,9042,true
10.5.0.6,10.5.0.2,dc-1-n1,9160,true
10.5.0.6,10.5.0.3,dc-1-n2,2181,true
10.5.0.6,10.5.0.3,dc-1-n2,9042,true
10.5.0.6,10.5.0.3,dc-1-n2,9160,true
10.5.0.6,10.5.0.4,dc-1-n3,2181,true
10.5.0.6,10.5.0.4,dc-1-n3,9042,true
10.5.0.6,10.5.0.4,dc-1-n3,9160,true
  
# MS,,,,
dc-1-n4,,,,
10.5.0.5,10.5.0.2,dc-1-n1,8080,true
  
dc-1-n5,,,,
10.5.0.6,10.5.0.2,dc-1-n1,8080,true
  
# PG,,,,
dc-1-n4,,,,
10.5.0.5,10.5.0.5,dc-1-n4,5432,true
10.5.0.5,10.5.0.5,dc-1-n4,22,true
10.5.0.5,10.5.0.6,dc-1-n5,5432,true
10.5.0.5,10.5.0.6,dc-1-n5,22,true
  
dc-1-n5,,,,
10.5.0.6,10.5.0.5,dc-1-n4,5432,true
10.5.0.6,10.5.0.5,dc-1-n4,22,true
10.5.0.6,10.5.0.6,dc-1-n5,5432,true
10.5.0.6,10.5.0.6,dc-1-n5,22,true
  

UI,,,,
# MS,,,,
dc-1-n1,,,,
10.5.0.2,10.5.0.2,dc-1-n1,8080,true
  
